PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1501199,A PLUS PREPARATORY LEARNING ACADEMY,2,6,100 DUDLEY DR,ELLENWOOD,13089,089,GA,13,30294,7703890173,180,6.75,Yes,,153,13,7,,,,,,,,,,,,173,20,0,0,0,19,1,0,0,25.5,21,1,,1,2,2,0,0,0,95,5,0,0,0.78,5,HENRY,This school does not belong to ANY associations or organizations,,,,,,,
A0102857,A UNIQUE LEARNING ACADEMY,2,6,7290 COVINGTON HWY,LITHONIA,13089,089,GA,13,30058,7704848226,182,6,Yes,,49,10,10,,,,,,,,,,,,69,20,0,0,0,19,0,0,1,2,21,1,2,1,3,2,0,0,0,95,0,0,5,10,30,DEKALB,This school does not belong to ANY associations or organizations,,,,,,,
A0700686,ABC MONTESSORI ACADEMY FOR THE BRILLIANT CHILD,2,17,483 WALKER DR,MCDONOUGH,13151,151,GA,13,30253,7709579998,180,6.5,No,,25,3,14,5,5,5,5,6,9,5,1,5,2,1,91,66,12,2,7,18,15,1,11,13.5,21,1,2,3,3,2,18.18,3.03,10.61,27.27,22.73,1.52,16.67,4.89,30,HENRY,This school does not belong to ANY associations or organizations,,,,,,,
BB160917,ABM VIETNAMESE SCHOOL,11,17,4300 BUFORD HWY NE,ATLANTA,13089,089,GA,13,30345,4042543907,180,7,No,,,,,,,,,3,5,,5,2,3,3,21,21,0,16,0,2,3,0,0,4,21,1,1,3,3,2,0,76.19,0,9.52,14.29,0,0,5.25,30,DEKALB,This school does not belong to ANY associations or organizations,,,,,,,
A0700688,ACADEME OF THE OAKS,14,17,146 NEW ST,DECATUR,13089,089,GA,13,30030,4044052173,180,6.92,No,,,,,,,,,,,,28,23,21,22,94,94,0,18,5,26,45,0,0,7.9,21,1,3,2,3,2,0,19.15,5.32,27.66,47.87,0,0,11.9,30,DEKALB,Association of Waldorf Schools of North America (AWSNA),State or regional independent school association,,,,,,
A9501433,ACADEMICS PLUS,2,9,717 INDUSTRIAL PARK RD,EVANS,13073,073,GA,13,30809,7063643169,180,6,Yes,,2,2,2,2,1,1,,,,,,,,,10,8,0,2,2,2,2,0,0,2,21,1,1,1,3,2,0,25,25,25,25,0,0,4,30,COLUMBIA,This school does not belong to ANY associations or organizations,,,,,,,
BB160886,ACT,3,17,PO BOX 503,CONLEY,13089,089,GA,13,30288,4045492327,180,6,Yes,,,3,6,7,5,1,10,7,6,10,8,3,5,4,75,75,0,0,0,71,4,0,0,13,21,1,1,3,2,2,0,0,0,94.67,5.33,0,0,5.77,8,DEKALB,This school does not belong to ANY associations or organizations,,,,,,,
A1501205,ADVANCE ACADEMY AT MATTHEW REARDON CTR FOR AUTISM,1,1,PO BOX 146669,SAVANNAH,13051,051,GA,13,31416,9123559098,201,6,Yes,17,,,,,,,,,,,,,,,17,17,0,0,0,9,5,0,3,3,12,1,4,3,3,1,0,0,0,52.94,29.41,0,17.65,5.67,30,CHATHAM,This school does not belong to ANY associations or organizations,,,,,,,
A0901269,ADVANCE LEARNING CENTER,6,17,PO BOX 2598,KINGSLAND,13039,039,GA,13,31548,9128825327,180,7.08,Yes,,,,2,3,3,3,3,2,2,7,2,3,4,1,35,35,0,0,0,3,29,0,3,6.5,32,1,4,3,2,3,0,0,0,8.57,82.86,0,8.57,5.38,8,CAMDEN,Other school association(s),,,,,,,
A0740044,AGAPE JR ACADEMY,3,13,7236 WHEELER CT,LITHONIA,13135,135,GA,13,30058,6783677088,181,7,No,,,2,8,2,7,3,3,1,5,1,,,,,32,32,0,0,3,26,0,0,3,4.6,21,1,1,1,2,2,0,0,9.38,81.25,0,0,9.38,6.96,8,GWINNETT,American Association of Christian Schools (AACS),Association of Christian Schools International (ACSI),,,,,,
A1300983,AL-FALAH ACADEMY,2,15,4805 LAWRENCEVILLE HWY NW STE 220,LILBURN,13135,135,GA,13,30047,6783800201,180,7.5,No,,44,30,36,30,27,29,21,20,24,13,18,12,,,304,260,0,138,4,92,14,0,12,42.9,21,1,1,3,2,2,0,53.08,1.54,35.38,5.38,0,4.62,6.06,17,GWINNETT,This school does not belong to ANY associations or organizations,,,,,,,
A1501208,AL-FURQUAN ACADEMY,6,14,6011 WESTERN HILLS DR,NORCROSS,13135,135,GA,13,30071,6783683939,183,8.5,No,,,,5,6,2,5,7,2,5,3,2,,,,37,37,0,30,0,6,1,0,0,9.9,21,1,1,3,2,2,0,81.08,0,16.22,2.7,0,0,3.74,17,GWINNETT,This school does not belong to ANY associations or organizations,,,,,,,
A1390132,ALEXSANDER ACADEMY,6,14,1090 POWERS PL STE A,ALPHARETTA,13121,121,GA,13,30009,7707770475,180,5,Yes,,,,3,3,2,9,4,3,5,,1,,,,30,30,0,2,2,5,21,0,0,9,13,1,4,3,3,1,0,6.67,6.67,16.67,70,0,0,3.33,30,FULTON,State or regional independent school association,,,,,,,
