NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
130258003402,GA-668-0106,1302580,GA-668,09,09,9th Grade Academy,Habersham County,Habersham County,171 Raider Circle,Mount Airy,GA,30563,,(706)778-0830,41,Rural: Fringe,No,No,No,†,476.00000,33.00000,14.4000000,235.00000,42.00000
130351001338,GA-781-0188,1303510,GA-781,PK,05,A.L. Burruss Elementary School,Marietta City,Cobb County,325 Manning Rd SW,Marietta,GA,30064,,(770)429-3144,13,City: Small,No,No,Yes,Yes,451.00000,35.50000,12.7000000,200.00000,12.00000
130387004127,GA-706-0115,1303870,GA-706,06,08,Aaron Cohn Middle School,Muscogee County,Muscogee County,7352 Garrett Rd,Midland,GA,31820,,(706)569-3801,12,City: Midsize,No,No,No,†,521.00000,34.50000,15.1000000,159.00000,50.00000
130002603806,GA-891-1898,1300026,GA-891,05,10,Aaron Cohn Regional Youth Detention Center,Department of Juvenile Justice,Muscogee County,7700 Chattsworth Rd,Midland,GA,31820,,(706)568-2498,41,Rural: Fringe,No,No,Yes,No,15.00000,–,†,–,–
130228002378,GA-660-0101,1302280,GA-660,PK,05,Abbotts Hill Elementary School,Fulton County,Fulton County,5575 Abbotts Bridge Rd,Duluth,GA,30097,,(470)254-2860,21,Suburb: Large,No,No,No,†,700.00000,44.40000,15.8000000,65.00000,17.00000
130042004176,GA-611-0117,1300420,GA-611,KG,10,Academy For Classical Education,Bibb County,Bibb County,5665 New Forsyth Rd,Macon,GA,31210,,(478)747-5310,12,City: Midsize,Yes,No,No,†,1130.00000,69.30000,16.3000000,1120.00000,0.00000
130438001528,GA-721-4060,1304380,GA-721,09,12,Academy of Richmond County High School,Richmond County,Richmond County,910 Russell St,Augusta,GA,30904,,(706)737-7152,12,City: Midsize,No,Yes,Yes,Yes,1339.00000,72.00000,18.6000000,1296.00000,0.00000
130129000539,GA-633-0302,1301290,GA-633,02,05,Acworth Intermediate School,Cobb County,Cobb County,4220 Cantrell Rd NW,Acworth,GA,30101,,(770)975-6600,21,Suburb: Large,No,No,Yes,Yes,697.00000,55.00000,12.7000000,374.00000,84.00000
130033000185,GA-608-0177,1300330,GA-608,PK,05,Adairsville Elementary School,Bartow County,Bartow County,122 King St,Adairsville,GA,30103,,(770)606-5840,32,Town: Distant,No,No,Yes,Yes,694.00000,47.30000,14.7000000,301.00000,80.00000
130033002352,GA-608-0105,1300330,GA-608,09,12,Adairsville High School,Bartow County,Bartow County,519 Old Highway 41 NW,Adairsville,GA,30103,,(770)606-4151,41,Rural: Fringe,No,No,No,†,948.00000,56.70000,16.7000000,332.00000,80.00000
